iter	Passed	Remaining
0	0	57
1	1	49
2	1	45
3	1	43
4	2	42
5	2	41
6	3	40
7	3	39
8	3	38
9	4	38
10	4	37
11	5	36
12	5	36
13	5	35
14	6	35
15	6	34
16	7	34
17	7	34
18	8	34
19	8	33
20	8	33
21	9	32
22	9	32
23	10	31
24	10	31
25	10	30
26	11	30
27	11	29
28	12	29
29	12	28
30	12	28
31	13	28
32	13	27
33	14	27
34	14	26
35	14	26
36	15	25
37	15	25
38	15	24
39	16	24
40	16	24
41	17	23
42	17	23
43	17	22
44	18	22
45	18	21
46	19	21
47	19	21
48	19	20
49	20	20
50	20	19
51	21	19
52	21	19
53	21	18
54	22	18
55	22	17
56	23	17
57	23	17
58	23	16
59	24	16
60	24	15
61	25	15
62	25	14
63	25	14
64	26	14
65	26	13
66	27	13
67	27	12
68	27	12
69	28	12
70	28	11
71	29	11
72	29	10
73	29	10
74	30	10
75	30	9
76	31	9
77	31	8
78	31	8
79	32	8
80	32	7
81	33	7
82	33	6
83	33	6
84	34	6
85	34	5
86	35	5
87	35	4
88	35	4
89	36	4
90	36	3
91	37	3
92	37	2
93	38	2
94	38	2
95	38	1
96	39	1
97	39	0
98	40	0
99	40	0
